p,seed,method,evaluation,code,selected,fits,validation_acc,validation_normalized_margin,validation_mean_margin,relative_residual,bank_predicted_z,bank_candidates_scored
17,2013,random_probe,4,86,False,11,1.0,0.08467333318068754,0.00032995295617878573,3.6795658717355755e-14,,
17,2013,random_probe,5,110,True,11,1.0,1.8079277230702235,0.005181081324371099,3.842801576900484e-14,,
17,2013,random_probe,6,102,False,11,1.0,0.4077436906662986,0.0009856878447574967,3.5403379383393806e-14,,
17,2013,random_probe,7,8,False,11,1.0,0.7403987253230909,0.00322555070319371,3.819135098707042e-14,,
17,2013,random_probe,8,31,False,11,0.0,-0.6699654076485753,-0.002482776816005577,3.366702656276178e-14,,
17,2013,random_probe,9,10,False,11,0.0,-0.9564822746712216,-0.0016587593573999828,3.306368031078414e-14,,
17,2013,random_probe,10,92,False,11,0.8333333333333334,0.13698987721350211,0.0003289481640270514,3.6055119249954454e-14,,
17,2014,bank,0,34,True,0,,,,,1.797833423947534,128
17,2014,greedy_probe,0,0,False,11,1.0,0.9116858271920659,0.0014543208669448027,3.3711486954399314e-14,,
17,2014,greedy_probe,1,16,False,11,1.0,1.2476558985491244,0.0021109930400499202,3.5990727024369265e-14,,
17,2014,greedy_probe,2,80,False,11,0.5,0.003412504809572466,4.991295784406713e-06,3.307058183475573e-14,,
17,2014,greedy_probe,3,24,False,11,1.0,1.4577174784063678,0.002534271719249352,3.494784564779904e-14,,
17,2014,greedy_probe,4,28,False,11,1.0,0.6469448445518587,0.0011144535915683905,4.0468288529670566e-14,,
17,2014,greedy_probe,5,26,False,11,1.0,0.8147509900717943,0.0013964915605607735,3.402510248742554e-14,,
17,2014,greedy_probe,6,56,True,11,1.0,1.6205268284725214,0.0027136412113459296,3.7745502246800024e-14,,
17,2014,greedy_probe,7,57,False,11,1.0,1.5577718225438266,0.0027188808273970765,3.754902190638341e-14,,
17,2014,greedy_probe,8,40,False,11,1.0,0.7813896141139055,0.0012039268645266988,3.1694159917510586e-14,,
17,2014,greedy_probe,9,120,False,11,1.0,0.8832179242179031,0.0007882979095229248,3.6074331533718046e-14,,
17,2014,greedy_probe,10,48,False,11,1.0,1.5664779479933628,0.0025459929870340417,3.536023341635966e-14,,
17,2014,random_full,0,0,True,60,1.0,0.9187610604083459,0.0014678978208270087,3.468862281496089e-14,,
17,2014,random_full,1,67,False,60,0.8333333333333334,0.25768509286753305,0.0003127601422453982,3.793995335878111e-14,,
17,2014,random_probe,0,0,False,11,1.0,0.9116858271920659,0.0014543208669448027,3.3711486954399314e-14,,
17,2014,random_probe,1,67,False,11,0.8333333333333334,0.24508928904259522,0.00029771159229800376,3.9041430676061424e-14,,
17,2014,random_probe,2,95,False,11,0.8333333333333334,0.41474314172719207,0.0004551574170332413,3.8246336419272905e-14,,
17,2014,random_probe,3,100,False,11,0.6666666666666666,-0.040994582031713286,-2.9006945172096083e-05,3.6299620616245006e-14,,
17,2014,random_probe,4,2,True,11,1.0,1.6927742017837841,0.002819654080325871,3.2949483554554764e-14,,
17,2014,random_probe,5,82,False,11,0.0,-0.7617881302394185,-0.0005918954681323243,3.451595995918895e-14,,
