name,p,view,step,sequences,eligible,unique,displaced
p23_s100_cross,23,point,51,23,23,23,0
p23_s100_cross,23,point,52,23,23,23,0
p23_s100_cross,23,point,53,23,23,23,0
p23_s100_cross,23,point,54,23,23,23,0
p23_s100_cross,23,point,55,23,23,23,0
p23_s100_cross,23,point,56,23,23,23,0
p23_s100_cross,23,point,57,23,23,23,0
p23_s100_cross,23,point,58,23,23,23,0
p23_s100_cross,23,point,59,23,23,23,0
p23_s100_cross,23,profile,0,1,1,1,1
p23_s100_cross,23,profile,1,1,1,1,1
p23_s100_cross,23,profile,2,1,1,1,1
p23_s100_cross,23,profile,3,1,1,1,1
p23_s100_cross,23,profile,4,1,1,1,1
p23_s100_cross,23,profile,5,1,1,1,1
p23_s100_cross,23,profile,6,1,1,1,1
p23_s100_cross,23,profile,7,1,1,1,1
p23_s100_cross,23,profile,8,1,1,1,0
p23_s100_cross,23,profile,9,1,1,1,0
p23_s100_cross,23,profile,10,1,1,1,0
p23_s100_cross,23,profile,11,1,1,1,0
p23_s100_cross,23,profile,12,1,1,1,0
p23_s100_cross,23,profile,13,1,1,1,0
p23_s100_cross,23,profile,14,1,1,1,0
p23_s100_cross,23,profile,15,1,1,1,0
p23_s100_cross,23,profile,16,1,1,1,0
p23_s100_cross,23,profile,17,1,1,1,0
p23_s100_cross,23,profile,18,1,1,1,0
p23_s100_cross,23,profile,19,1,1,1,0
p23_s100_cross,23,profile,20,1,1,1,0
p23_s100_cross,23,profile,21,1,1,1,0
p23_s100_cross,23,profile,22,1,1,1,0
p23_s100_cross,23,profile,23,1,1,1,0
p23_s100_cross,23,profile,24,1,1,1,0
p23_s100_cross,23,profile,25,1,1,1,0
p23_s100_cross,23,profile,26,1,1,1,0
p23_s100_cross,23,profile,27,1,1,1,0
p23_s100_cross,23,profile,28,1,1,1,0
p23_s100_cross,23,profile,29,1,1,1,0
p23_s100_cross,23,profile,30,1,1,1,0
p23_s100_cross,23,profile,31,1,1,1,0
p23_s100_cross,23,profile,32,1,1,1,0
p23_s100_cross,23,profile,33,1,1,1,0
