phase,name,p,seed,variant,view,test_a,truth,rtol,horizon,initial_informative_step,raw_argmax_changes,leader_replacements,correctness_flips,correct_to_wrong,wrong_to_correct,last_leader_replacement,last_correctness_flip,final_correct_state,final_winner_count,final_normalized_correct_margin
discovery,p17_s21_diag,17,21,diag,point,8,16,1e-08,59,0,2,2,0,0,0,6,,-1,1,-3.1133892104751206
discovery,p17_s21_diag,17,21,diag,point,9,1,1e-08,59,0,4,4,0,0,0,7,,-1,1,-1.8147561104929983
discovery,p17_s21_diag,17,21,diag,point,10,3,1e-08,59,0,4,4,0,0,0,6,,-1,1,-0.6671423623108348
discovery,p17_s21_diag,17,21,diag,point,11,5,1e-08,59,0,3,3,0,0,0,6,,-1,1,-0.47779400603809513
discovery,p17_s21_diag,17,21,diag,point,12,7,1e-08,59,0,5,5,1,0,1,11,11,1,1,0.3103953960348317
discovery,p17_s21_diag,17,21,diag,point,13,9,1e-08,59,0,1,1,0,0,0,6,,-1,1,-0.32718245889954267
discovery,p17_s21_diag,17,21,diag,point,14,11,1e-08,59,0,2,2,0,0,0,7,,-1,1,-1.3344053668699751
discovery,p17_s21_diag,17,21,diag,point,15,13,1e-08,59,0,4,4,0,0,0,7,,-1,1,-2.5202335265818374
discovery,p17_s21_diag,17,21,diag,point,16,15,1e-08,59,0,2,2,0,0,0,7,,-1,1,-3.0184214844650596
discovery,p17_s21_residual,17,21,residual,profile,-1,0,1e-08,59,0,3,3,0,0,0,9,,-1,1,-4.011974966005127
discovery,p17_s21_residual,17,21,residual,point,0,0,1e-08,59,0,3,3,0,0,0,8,,-1,1,-1.8809329113136197
discovery,p17_s21_residual,17,21,residual,point,1,2,1e-08,59,0,2,2,1,0,1,10,10,1,1,0.5892810920764994
discovery,p17_s21_residual,17,21,residual,point,2,4,1e-08,59,0,1,1,0,0,0,3,,-1,1,-3.367140475137239
discovery,p17_s21_residual,17,21,residual,point,3,6,1e-08,59,0,5,5,0,0,0,8,,-1,1,-1.9745942469985176
discovery,p17_s21_residual,17,21,residual,point,4,8,1e-08,59,0,2,2,0,0,0,7,,-1,1,-2.1875948566525665
discovery,p17_s21_residual,17,21,residual,point,5,10,1e-08,59,0,3,3,0,0,0,7,,-1,1,-1.8158632425291452
discovery,p17_s21_residual,17,21,residual,point,6,12,1e-08,59,0,2,2,0,0,0,7,,-1,1,-0.7382057571444587
discovery,p17_s21_residual,17,21,residual,point,7,14,1e-08,59,0,1,1,0,0,0,1,,-1,1,-2.3399850319085385
discovery,p17_s21_residual,17,21,residual,point,8,16,1e-08,59,0,3,3,0,0,0,7,,-1,1,-2.2751503691394994
discovery,p17_s21_residual,17,21,residual,point,9,1,1e-08,59,0,3,3,0,0,0,7,,-1,1,-2.673774386656376
discovery,p17_s21_residual,17,21,residual,point,10,3,1e-08,59,0,2,2,0,0,0,7,,-1,1,-3.1108741430101245
discovery,p17_s21_residual,17,21,residual,point,11,5,1e-08,59,0,3,3,0,0,0,7,,-1,1,-3.5178878414664516
discovery,p17_s21_residual,17,21,residual,point,12,7,1e-08,59,0,0,0,0,0,0,,,-1,1,-1.6247669984565616
discovery,p17_s21_residual,17,21,residual,point,13,9,1e-08,59,0,2,2,0,0,0,6,,-1,1,-1.983384370790701
discovery,p17_s21_residual,17,21,residual,point,14,11,1e-08,59,0,3,3,0,0,0,8,,-1,1,-0.4952431739992021
discovery,p17_s21_residual,17,21,residual,point,15,13,1e-08,59,0,1,1,0,0,0,5,,-1,1,-1.9588692324790087
discovery,p17_s21_residual,17,21,residual,point,16,15,1e-08,59,0,2,2,0,0,0,7,,-1,1,-3.4403866193019135
discovery,p17_s22_circ,17,22,circ,profile,-1,0,1e-08,59,0,2,1,1,0,1,7,7,1,1,0.32295515169874833
discovery,p17_s22_circ,17,22,circ,point,0,0,1e-08,59,0,2,1,1,0,1,7,7,1,1,0.3229548198696728
discovery,p17_s22_circ,17,22,circ,point,1,2,1e-08,59,0,4,1,1,0,1,7,7,1,1,0.32295504965770416
discovery,p17_s22_circ,17,22,circ,point,2,4,1e-08,59,0,3,1,1,0,1,7,7,1,1,0.32295561445555593
discovery,p17_s22_circ,17,22,circ,point,3,6,1e-08,59,0,4,1,1,0,1,7,7,1,1,0.3229547514822092
discovery,p17_s22_circ,17,22,circ,point,4,8,1e-08,59,0,5,1,1,0,1,7,7,1,1,0.32295484897510035
discovery,p17_s22_circ,17,22,circ,point,5,10,1e-08,59,0,4,1,1,0,1,7,7,1,1,0.3229545951131626
discovery,p17_s22_circ,17,22,circ,point,6,12,1e-08,59,0,5,1,1,0,1,7,7,1,1,0.32295475232999804
discovery,p17_s22_circ,17,22,circ,point,7,14,1e-08,59,0,3,1,1,0,1,7,7,1,1,0.3229549896879069
discovery,p17_s22_circ,17,22,circ,point,8,16,1e-08,59,0,2,1,1,0,1,7,7,1,1,0.32295527246907
discovery,p17_s22_circ,17,22,circ,point,9,1,1e-08,59,0,5,1,1,0,1,7,7,1,1,0.32295589560989174
discovery,p17_s22_circ,17,22,circ,point,10,3,1e-08,59,0,4,1,1,0,1,7,7,1,1,0.3229548433669481
discovery,p17_s22_circ,17,22,circ,point,11,5,1e-08,59,0,2,1,1,0,1,7,7,1,1,0.3229548533116376
discovery,p17_s22_circ,17,22,circ,point,12,7,1e-08,59,0,4,1,1,0,1,7,7,1,1,0.3229551094228396
discovery,p17_s22_circ,17,22,circ,point,13,9,1e-08,59,0,5,1,1,0,1,7,7,1,1,0.32295472647459916
discovery,p17_s22_circ,17,22,circ,point,14,11,1e-08,59,0,2,1,1,0,1,7,7,1,1,0.32295584995203225
discovery,p17_s22_circ,17,22,circ,point,15,13,1e-08,59,0,4,1,1,0,1,7,7,1,1,0.3229549807850436
discovery,p17_s22_circ,17,22,circ,point,16,15,1e-08,59,0,5,1,1,0,1,7,7,1,1,0.32295545428735023
discovery,p17_s22_cross,17,22,cross,profile,-1,0,1e-08,59,0,2,2,1,0,1,9,9,1,1,0.19556910700949734
discovery,p17_s22_cross,17,22,cross,point,0,0,1e-08,59,0,4,4,1,0,1,9,9,1,1,0.13330367506812046
discovery,p17_s22_cross,17,22,cross,point,1,2,1e-08,59,0,0,0,0,0,0,,,-1,1,-0.034546410282703936
discovery,p17_s22_cross,17,22,cross,point,2,4,1e-08,59,0,1,1,0,0,0,4,,-1,1,-0.4334136024999519
discovery,p17_s22_cross,17,22,cross,point,3,6,1e-08,59,0,4,4,1,0,1,9,9,1,1,0.17988357572408836
discovery,p17_s22_cross,17,22,cross,point,4,8,1e-08,59,0,2,2,0,0,0,5,,-1,1,-0.003604761690641753
discovery,p17_s22_cross,17,22,cross,point,5,10,1e-08,59,0,3,3,1,0,1,9,9,1,1,0.4836389197490945
discovery,p17_s22_cross,17,22,cross,point,6,12,1e-08,59,0,2,2,0,0,0,3,,-1,1,-0.3190367644078973
discovery,p17_s22_cross,17,22,cross,point,7,14,1e-08,59,0,2,2,1,0,1,10,10,1,1,0.07358801077954223
discovery,p17_s22_cross,17,22,cross,point,8,16,1e-08,59,0,3,3,1,0,1,9,9,1,1,0.25389650347985215
discovery,p17_s22_cross,17,22,cross,point,9,1,1e-08,59,0,2,2,0,0,0,3,,-1,1,-0.08146462926341612
discovery,p17_s22_cross,17,22,cross,point,10,3,1e-08,59,0,2,2,1,0,1,10,10,1,1,0.1110983586250273
discovery,p17_s22_cross,17,22,cross,point,11,5,1e-08,59,0,2,2,0,0,0,3,,-1,1,-0.025273011827331916
discovery,p17_s22_cross,17,22,cross,point,12,7,1e-08,59,0,4,4,1,0,1,9,9,1,1,0.6316798118113152
discovery,p17_s22_cross,17,22,cross,point,13,9,1e-08,59,0,2,2,0,0,0,3,,-1,1,-0.043321275575115156
discovery,p17_s22_cross,17,22,cross,point,14,11,1e-08,59,0,1,1,0,0,0,4,,-1,1,-0.06257839475121173
discovery,p17_s22_cross,17,22,cross,point,15,13,1e-08,59,0,1,1,0,0,0,4,,-1,1,-0.45159712901633986
discovery,p17_s22_cross,17,22,cross,point,16,15,1e-08,59,0,2,2,1,0,1,10,10,1,1,0.01610054331672965
discovery,p17_s22_diag,17,22,diag,profile,-1,0,1e-08,59,0,44,42,0,0,0,58,,-1,1,-4.454280152488649
discovery,p17_s22_diag,17,22,diag,point,0,0,1e-08,59,0,2,2,0,0,0,8,,-1,1,-0.64969097108826
discovery,p17_s22_diag,17,22,diag,point,1,2,1e-08,59,0,3,3,0,0,0,5,,-1,1,-1.4815964350144482
discovery,p17_s22_diag,17,22,diag,point,2,4,1e-08,59,0,3,3,0,0,0,7,,-1,1,-1.7173560159586194
discovery,p17_s22_diag,17,22,diag,point,3,6,1e-08,59,0,1,1,0,0,0,1,,-1,1,-1.2207993367889147
discovery,p17_s22_diag,17,22,diag,point,4,8,1e-08,59,0,4,4,0,0,0,7,,-1,1,-0.628751834368519
discovery,p17_s22_diag,17,22,diag,point,5,10,1e-08,59,0,2,2,1,0,1,11,11,1,1,0.2070885456950633
discovery,p17_s22_diag,17,22,diag,point,6,12,1e-08,59,0,4,4,0,0,0,7,,-1,1,-2.3059704439330715
discovery,p17_s22_diag,17,22,diag,point,7,14,1e-08,59,0,3,3,0,0,0,7,,-1,1,-2.442584680205962
discovery,p17_s22_diag,17,22,diag,point,8,16,1e-08,59,0,2,2,0,0,0,6,,-1,1,-2.2566489306148125
discovery,p17_s22_diag,17,22,diag,point,9,1,1e-08,59,0,3,3,0,0,0,7,,-1,1,-2.6303403043325853
discovery,p17_s22_diag,17,22,diag,point,10,3,1e-08,59,0,3,3,0,0,0,7,,-1,1,-0.9292178953933541
discovery,p17_s22_diag,17,22,diag,point,11,5,1e-08,59,0,3,3,0,0,0,7,,-1,1,-1.7778883192231838
discovery,p17_s22_diag,17,22,diag,point,12,7,1e-08,59,0,2,2,0,0,0,3,,-1,1,-3.3384069404971997
discovery,p17_s22_diag,17,22,diag,point,13,9,1e-08,59,0,2,2,0,0,0,7,,-1,1,-2.612721846560646
discovery,p17_s22_diag,17,22,diag,point,14,11,1e-08,59,0,2,2,0,0,0,6,,-1,1,-3.105259182005461
discovery,p17_s22_diag,17,22,diag,point,15,13,1e-08,59,0,3,3,0,0,0,6,,-1,1,-0.5898516794823907
