phase,name,p,seed,variant,view,test_a,truth,rtol,event,previous_step,step,old_classes,new_classes,previous_margin,current_margin,previous_tolerance,current_tolerance,current_normalized_margin
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,56,57,2,11,1.5036583089766964e-12,-2.543640992280771e-10,9.746813073079132e-16,9.746813020657116e-16,-0.14728142253653764
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,57,58,11,9,2.872008186827202e-12,-1.4954945060097202e-09,9.746813020657116e-16,9.746813074301454e-16,-0.6527328093002975
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,58,59,9,5,9.85503345596328e-13,-1.055437501285006e-09,9.746813074301454e-16,9.74681301155889e-16,-0.6125859295909646
discovery,p17_s20_diag,17,20,diag,point,0,0,1e-08,leader_group_replaced,0,1,10,8,6.019287619014879e-05,-8.893646538568611e-06,3.1017452493046417e-10,3.1041764012134004e-10,-0.00028650583565715366
discovery,p17_s20_diag,17,20,diag,point,0,0,1e-08,leader_group_replaced,1,2,8,4,5.8155820927691115e-06,-4.3874224257278716e-06,3.1041764012134004e-10,3.0982282149525993e-10,-0.0001416106923484007
discovery,p17_s20_diag,17,20,diag,point,0,0,1e-08,leader_group_replaced,7,8,4,7,8.265428672049602e-08,-8.123901008710854e-07,1.8755361702988215e-11,1.522373125917547e-12,-0.005336340264029892
discovery,p17_s20_diag,17,20,diag,point,1,2,1e-08,leader_group_replaced,2,3,11,1,1.97255513198491e-06,-5.568656383236892e-07,3.098220498837671e-10,3.074973097499748e-10,-1.810961008980778e-05
discovery,p17_s20_diag,17,20,diag,point,1,2,1e-08,leader_group_replaced,6,7,1,7,4.0491374279916226e-07,-3.983785719363642e-08,1.237786472174279e-10,1.876692820744323e-11,-2.1227692008666694e-05
discovery,p17_s20_diag,17,20,diag,point,2,4,1e-08,leader_group_replaced,0,1,8,6,1.3955888140668171e-05,-2.2893359884201825e-07,3.100856728543806e-10,3.104173343846714e-10,-7.375026246386165e-06
discovery,p17_s20_diag,17,20,diag,point,2,4,1e-08,leader_group_replaced,5,6,6,7,2.1024400420621703e-07,-9.109716556932046e-07,2.5302164370182105e-10,1.2376801075004047e-10,-7.360315885927793e-05
discovery,p17_s20_diag,17,20,diag,point,3,6,1e-08,leader_group_replaced,0,1,11,7,3.310536929193586e-05,-3.0715429476246836e-07,3.1008024491331833e-10,3.104172810497283e-10,-9.894883871277218e-06
discovery,p17_s20_diag,17,20,diag,point,4,8,1e-08,leader_group_replaced,0,1,6,7,1.2179613445018056e-05,-1.0558027097540279e-05,3.1016558275331976e-10,3.104177600642512e-10,-0.00034012316483937474
discovery,p17_s20_diag,17,20,diag,point,4,8,1e-08,leader_group_replaced,2,3,7,4,1.912763207226331e-06,-1.1154003194541184e-06,3.0982302927330526e-10,3.0749818846237906e-10,-3.627339481353017e-05
discovery,p17_s20_diag,17,20,diag,point,4,8,1e-08,leader_group_replaced,6,7,4,7,1.90306908565141e-08,-7.703516822638035e-07,1.2376933163586145e-10,1.8752269389256473e-11,-0.0004108045091892464
discovery,p17_s20_diag,17,20,diag,point,5,10,1e-08,leader_group_replaced,3,4,16,4,2.844869598922495e-07,-1.2707317850746414e-08,3.0749740309864853e-10,2.973063215962034e-10,-4.274149901193586e-07
discovery,p17_s20_diag,17,20,diag,point,5,10,1e-08,leader_group_replaced,4,5,4,1,1.2707317850746414e-08,-8.840631475492966e-08,2.973063215962034e-10,2.5302433842369425e-10,-3.4939846224157117e-06
discovery,p17_s20_diag,17,20,diag,point,5,10,1e-08,leader_group_replaced,5,6,1,7,3.707651470563622e-08,-2.907321434569843e-07,2.5302433842369425e-10,1.237767713749477e-10,-2.3488425188946896e-05
discovery,p17_s20_diag,17,20,diag,point,6,12,1e-08,leader_group_replaced,1,2,1,6,1.3615285964774237e-06,-1.3316219239292715e-05,3.1041640729408597e-10,3.098222040561342e-10,-0.00042980196593269527
discovery,p17_s20_diag,17,20,diag,point,6,12,1e-08,leader_group_replaced,5,6,6,15,1.7465465310256834e-06,-3.8562338920689054e-07,2.530246648729202e-10,1.2377715455427342e-10,-3.115464970862645e-05
discovery,p17_s20_diag,17,20,diag,point,6,12,1e-08,leader_group_replaced,7,8,15,7,3.274411131820587e-07,-5.331947413728111e-07,1.8764265498734506e-11,1.5316496461139802e-12,-0.003481179542107455
discovery,p17_s20_diag,17,20,diag,point,7,14,1e-08,leader_group_replaced,0,1,5,7,4.660703512709974e-07,-1.990115312683338e-06,3.10207998490583e-10,3.1041745278847647e-10,-6.411093496213421e-05
discovery,p17_s20_diag,17,20,diag,point,8,16,1e-08,leader_group_replaced,0,1,2,11,6.160255152021232e-05,-3.1143817838669152e-06,3.101498654319218e-10,3.104170309752827e-10,-0.00010032895985384581
discovery,p17_s20_diag,17,20,diag,point,8,16,1e-08,leader_group_replaced,4,5,11,8,1.7990262127232093e-08,-2.128300460174648e-07,2.9730632751570543e-10,2.530230245034319e-10,-8.411489287789226e-06
discovery,p17_s20_diag,17,20,diag,point,8,16,1e-08,leader_group_replaced,6,7,8,7,4.3480818409658006e-07,-8.550895189973762e-07,1.2377219568764495e-10,1.8757117991352423e-11,-0.0004558746814897669
discovery,p17_s20_diag,17,20,diag,point,9,1,1e-08,leader_group_replaced,1,2,7,13,1.1764035701009035e-05,-3.2616646509636693e-06,3.1041789894802753e-10,3.098230735038761e-10,-0.0001052750724494657
discovery,p17_s20_diag,17,20,diag,point,9,1,1e-08,leader_group_replaced,6,7,13,7,9.12887683085506e-08,-2.720332770170253e-06,1.2376783191360188e-10,1.87503313119678e-11,-0.001450818508168942
discovery,p17_s20_diag,17,20,diag,point,10,3,1e-08,leader_group_replaced,1,2,11,14,1.1632954821108599e-05,-6.063642276940562e-06,3.104168243663895e-10,3.098223948265345e-10,-0.00019571349192932022
discovery,p17_s20_diag,17,20,diag,point,10,3,1e-08,leader_group_replaced,6,7,14,7,1.1306395537036273e-06,-1.3882520557700895e-06,1.2377371854435258e-10,1.8759294667578115e-11,-0.0007400342498854287
discovery,p17_s20_diag,17,20,diag,point,11,5,1e-08,leader_group_replaced,1,2,2,3,3.634771492636024e-06,-1.1232734494770469e-06,3.1041752158789914e-10,3.0982250523219044e-10,-3.625538592282802e-05
