p,seed,method,chosen_code,test_acc,test_correct,test_n,test_normalized_margin,test_mean_margin,test_mse,validation_acc,validation_normalized_margin,validation_test_gap,online_fits,charged_fits,online_updates,unique_candidates,online_seconds,charged_seconds,peak_cuda_allocated_bytes,final_kernel_condition,relative_solve_residual,near_top_ties_relative_1e8,source
17,2015,bank,95,1.0,11,11,1.6126812197658673,0.0020373797235306353,0.05509880030841008,1.0,1.5709644947583274,0.0,60,171.0,59,1,0.5727251829999886,1.6041365040499886,15569408,35631.95070015036,3.5941710548934936e-14,0,runs/p17-s2015-bank/selected.npz
17,2015,random_probe,71,1.0,11,11,1.5783638015129404,0.0020670385129281364,0.055065119821130395,1.0,1.4967195983245238,0.0,170,170,159,11,1.5514629250000098,1.5514629250000098,21959168,35635.213295133246,3.7737183321064723e-14,0,runs/p17-s2015-random_probe/selected.npz
17,2015,greedy_probe,32,1.0,11,11,1.4051023712797255,0.0017362960270262786,0.05510852530851782,1.0,1.4926775058535735,0.0,170,170,159,11,1.5535478200000057,1.5535478200000057,21959168,35624.786975009054,3.7778790629276466e-14,0,runs/p17-s2015-greedy_probe/selected.npz
17,2016,random_probe,91,1.0,11,11,1.895724053745479,0.001029372334076782,0.05528236206072292,1.0,1.9550234001790703,0.0,170,170,159,11,1.5851475600000242,1.5851475600000242,21959168,35396.55645434344,3.62733493174084e-14,0,runs/p17-s2016-random_probe/selected.npz
17,2016,greedy_probe,90,1.0,11,11,1.9070270764950357,0.0010126421425345792,0.055285393327534446,1.0,1.960692291567818,0.0,170,170,159,11,1.6004574219999768,1.6004574219999768,21959168,35396.704419153946,3.543850563189732e-14,0,runs/p17-s2016-greedy_probe/selected.npz
17,2016,random_full,116,1.0,11,11,1.4527621984192012,0.0008033632869795728,0.05530177438202774,1.0,1.5201239302430298,0.0,120,120,118,2,1.125893906000016,1.125893906000016,16208384,35395.87575389539,3.3874341417829196e-14,0,runs/p17-s2016-random_full/selected.npz
17,2016,unmodified,0,0.09090909090909091,1,11,-0.8618719299351643,-0.00027905937276543035,0.05541954530073959,0.3333333333333333,-0.3076329802890845,0.2424242424242424,60,60,59,1,,,,35387.614955529556,3.811450172289591e-14,0,runs/p17-s2016-random_full/unmodified.npz
17,2016,bank,66,1.0,11,11,1.7661253811474615,0.0006092912486686026,0.05533276066688725,1.0,2.004208356918105,0.0,60,171.0,59,1,0.6013629799999762,1.6327743010499762,15569408,35393.41019504745,3.396279800767357e-14,0,runs/p17-s2016-bank/selected.npz
17,2017,random_probe,52,1.0,11,11,1.2205228934365293,0.0008949516855731675,0.05524351916609106,1.0,1.402146724346924,0.0,170,170,159,11,1.5378688400000158,1.5378688400000158,21959168,35512.32171599906,3.428530899460834e-14,0,runs/p17-s2017-random_probe/selected.npz
17,2017,random_full,0,1.0,11,11,1.3138272914865148,0.001381170208491537,0.05514634267034988,1.0,1.398012403407839,0.0,120,120,118,2,1.278940874,1.278940874,16208384,35517.078829328035,3.9783437318353144e-14,0,runs/p17-s2017-random_full/selected.npz
17,2017,unmodified,0,1.0,11,11,1.3138272914865148,0.001381170208491537,0.05514634267034988,1.0,1.398012403407839,0.0,60,60,59,1,,,,35517.078829328035,3.9783437318353144e-14,0,runs/p17-s2017-random_full/unmodified.npz
17,2017,greedy_probe,100,1.0,11,11,2.2033118506732747,0.0016507264816742093,0.05517545281914899,1.0,2.4264868408377467,0.0,170,170,159,11,1.6316245279999748,1.6316245279999748,21959168,35508.95148837372,3.509191837419762e-14,0,runs/p17-s2017-greedy_probe/selected.npz
17,2017,bank,100,1.0,11,11,2.2033118506732747,0.0016507264816742093,0.05517545281914899,1.0,2.4264868408377467,0.0,60,171.0,59,1,0.5657169159999853,1.5971282370499853,15569408,35508.95148837372,3.509191837419762e-14,0,runs/p17-s2017-bank/selected.npz
17,2018,random_probe,70,1.0,11,11,1.1161089979717203,0.0005164499138750472,0.05532089777979903,1.0,1.3249209958734165,0.0,170,170,159,11,1.6122373670000059,1.6122373670000059,21959168,35388.44472343868,3.387811420723792e-14,0,runs/p17-s2018-random_probe/selected.npz
17,2018,greedy_probe,100,1.0,11,11,1.4952023919439463,0.0005597290906579912,0.05534488881733102,1.0,1.543607389184271,0.0,170,170,159,11,1.534968512000006,1.534968512000006,21959168,35381.68343441819,3.697899072486073e-14,0,runs/p17-s2018-greedy_probe/selected.npz
17,2018,bank,101,1.0,11,11,1.602767540971232,0.0005685134391683686,0.055347228361668444,1.0,1.6523196973453034,0.0,60,171.0,59,1,0.5651860239999849,1.5965973450499849,15569408,35381.091155208,3.462293899071732e-14,0,runs/p17-s2018-bank/selected.npz
17,2018,random_full,121,1.0,11,11,1.0159893080624098,0.00045282171966253004,0.055326079552672734,1.0,0.9535302495831779,0.0,120,120,118,2,1.1543267180000214,1.1543267180000214,16208384,35388.7970466867,3.70479751247548e-14,0,runs/p17-s2018-random_full/selected.npz
17,2018,unmodified,0,0.9090909090909091,10,11,0.5959553196850412,0.00027488868998154124,0.055341700774193155,1.0,0.7104449192974132,0.09090909090909094,60,60,59,1,,,,35396.0900714714,3.295546907643212e-14,0,runs/p17-s2018-random_full/unmodified.npz
17,2019,bank,43,1.0,11,11,2.05918911425717,0.001237728313939599,0.05525588139946479,1.0,2.1876848286375883,0.0,60,171.0,59,1,0.5708442740000237,1.6022555950500237,15569408,35433.83352386431,3.2850231954509385e-14,0,runs/p17-s2019-bank/selected.npz
17,2019,random_probe,43,1.0,11,11,2.05918911425717,0.001237728313939599,0.05525588139946479,1.0,2.1876848286375883,0.0,170,170,159,11,1.567124806999999,1.567124806999999,21959168,35433.83352386431,3.2850231954509385e-14,0,runs/p17-s2019-random_probe/selected.npz
17,2019,random_full,75,1.0,11,11,1.618839587981431,0.0008731468099238012,0.05529226718385537,1.0,1.4828995934986038,0.0,120,120,118,2,1.1347510779999936,1.1347510779999936,16208384,35443.32861740442,3.485070341607516e-14,0,runs/p17-s2019-random_full/selected.npz
