p,seed,signal,predicted_acc,constant_acc,circulant_fraction,frequency_concentration,spectral_fraction,effective_rank,centered_energy_fraction,actual_acc,absolute_error,constant_error,profile_cosine,profile_relative_l2,raw_step5_acc,raw_step10_acc
23,119,0.8249635718970684,0.9656862745098039,0.7102941176470589,0.055299787215830655,0.4909676821776227,0.13590684259382013,12.141357460354087,0.9148938601291169,1.0,0.03431372549019607,0.28970588235294115,0.9997463593858846,0.022578973022420852,0.0,1.0
23,120,1.3012540867183282,0.9656862745098039,0.7102941176470589,0.06551857791306227,0.38407585645317427,0.14003130677283726,11.284523188568132,0.903275971639655,1.0,0.03431372549019607,0.28970588235294115,0.9999525901659625,0.030430919303718395,0.0,1.0
23,121,0.31935609215057353,0.8529411764705883,0.7102941176470589,0.061647196204760515,0.2797141000981968,0.13984674012499423,11.51281681257336,0.8966232288021123,0.9565217391304348,0.1035805626598465,0.24622762148337596,0.9980399697213244,0.07511552463856547,0.0,0.9130434782608695
23,122,1.520204897994541,1.0,0.7102941176470589,0.06279949858130326,0.5110935294218923,0.13587719413142849,11.416517546398792,0.8911236672999455,1.0,0.0,0.28970588235294115,0.9999436957726497,0.032685314099891664,0.0,1.0
23,123,0.10451077786000786,0.40652867302668916,0.7102941176470589,0.022405001936637425,0.32426375965549703,0.13887359126134421,11.236308278867943,0.9256453058788318,0.6086956521739131,0.20216697914722392,0.10159846547314577,0.9998705216284889,0.06098363223578468,0.0,0.5217391304347826
23,124,-0.3041978176275794,0.0392156862745098,0.7102941176470589,0.05483495459786906,0.3229338407210279,0.12912324894226943,12.804541918886317,0.9108996100135438,0.0,0.0392156862745098,0.7102941176470589,0.9976491060297635,0.0809575900816737,0.0,0.0
23,125,0.11983023857250527,0.4431979145806919,0.7102941176470589,0.04102694160708517,0.5432622845635645,0.1299479020464874,11.90204987411886,0.9163962083831689,0.7391304347826086,0.29593252020191674,0.028836317135549794,0.9998526595197874,0.01946698836482926,0.0,0.6521739130434783
23,126,0.1592929050902474,0.5592693673055544,0.7102941176470589,0.07972669695205267,0.4622246328322587,0.13404905068386547,11.544480729410514,0.937861404729781,0.9565217391304348,0.3972523718248804,0.24622762148337596,0.9990125668878085,0.04510804302080867,0.0,0.9565217391304348
23,127,-1.0272370868470406,0.0,0.7102941176470589,0.032329103150535145,0.615413157441651,0.1375630043316818,11.261235839754464,0.932233903269698,0.0,0.0,0.7102941176470589,0.9992499461712566,0.06126842648391763,0.0,0.0
23,128,1.8672371681670825,1.0,0.7102941176470589,0.02469631161708703,0.37486629288651246,0.11884778128241216,12.283899376099663,0.9364523060081953,1.0,0.0,0.28970588235294115,0.9984447939184043,0.07989063531707395,0.0,1.0
23,129,1.7029300175009745,1.0,0.7102941176470589,0.03254065213646941,0.40117504818645944,0.16832134989640085,9.98543822737306,0.9010172796024103,1.0,0.0,0.28970588235294115,0.9992020423355764,0.04231570954926945,0.0,1.0
